,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
10,Miller Hall,Yes,Residence Hall/Dormitory,10 Somerset Street,2108,"131,253",90.2,50,,Residence Hall/Dormitory,2004,867.5,6.6,"11,834,472.50",42.10%,8.40%,49.50%,36.4,,,,302803000,"2014, 2016, 2017, "
11,10 Tremont Street,Yes,Office,10 Tremont Street,2108,"38,000",63,99,,Office,1900,176,4.6,"2,394,594.60",,,,10.9,,,,302854000,"2016, 2017, "
12,Sears Crescent Building,Yes,Office,100 City Hall Plaza ,2108,"50,300",85.5,59,,Office,1816,304.8,6.1,"4,301,672.10",54.80%,45.20%,,18.5,,,,302897000,"2017, "
13,101 Tremont,Yes,Office,101 Tremont Street,2108,"80,344",64.5,Not Available,,Office,1901,349.5,4.4,"5,181,744.70",44.40%,55.70%,,29.6,,,,304717000,"2015, 2016, 2017, "
14,10-24 School Street,Yes,Office,10-24 School Street,2108,"134,789",74.2,86,"2017, 2016","Office, Retail Store",1925,772.1,5.7,"9,995,985.30",56.90%,0.00%,43.10%,10.3,,,,304718000,"2015, 2016, 2017, "
15,Sargent Hall,Yes,College/University,120 Tremont Street,2108,"287,602",47.8,Not Available,,Other,1996,"1,144.00",4,"13,727,428.70",93.50%,6.50%,,15,,,,304758010,"2014, 2016, 2017, "
16,Beacon Hill House,Yes,Multifamily Housing,122 Bowdoin Street,2108,"39,800",137.3,Not Available,,"Multifamily Housing, Retail Store",1890,317,8,"5,466,349.90",15.10%,84.90%,,6715.5,,,,302813000,"2016, 2017, "
17,BostonView Apartments,Yes,Multifamily Housing,130-140 Bowdoin St,2108,"209,103",13.1,100,,"Multifamily Housing, Parking",1965,233.8,1.1,"2,736,096.20",100.00%,,,,,,,02811-000,"2016, 2017, "
18,Congregational House,Yes,Office,14 Beacon Street,2108,"71,900",51.4,95,,"Library, Office",1897,291.7,4.1,"3,698,055.90",48.00%,3.40%,,5.5,,"Building houses the Congregational Library and has a climate control system.Rest of building is made up of office spaces rented to both profit and non-profit tenants.",,304692050,"2014, 2015, 2016, 2017, "
19,Ridgeway Building,Yes,College/University,148 Cambridge Street,2108,"46,790",160.8,Not Available,,College/University,1989,454.2,9.7,"7,524,953.60",22.40%,77.60%,,14.3,,,,300087000,"2016, 2017, "
20,FIFTEEN BEACON STREET LLC,Yes,Hotel,15 A BEACON ST,2108,"41,405",282.8,Not Available,,"Hotel, Other - Restaurant/Bar",1909,767.4,18.5,"11,710,686.60",37.10%,35.20%,27.70%,84.6,,,,302805000,"2017, "
21,"Brickpoint Properties, Inc.",Yes,Office,15 Court Square,2108,"81,986",60.3,94,,Office,1911,334,4.1,"4,946,200.40",44.60%,55.40%,,1.4,,,,302866000,"2014, 2015, 2016, 2017, "
22,New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,2108,"125,530",54.3,67,,Barracks,1908,524.1,4.2,"6,812,700.30",72.80%,25.00%,2.20%,37.3,,Steam usage billing period spans greater than 31 days.,,302886000,"2015, 2016, 2017, "
23,"RECP V 18 Tremont Owner, LLC",Yes,Office,18 Tremont Street,2108,"210,669",Not Available,Not Available,,Office,1915, Not Available ,Not Available, Not Available ,,,,6.1,,,,302859000,"2016, 2017, "
24,Faros 20 Ashburton LLC,Yes,Office,20 Ashburton Place,2108,"43,073",26.2,Not Available,,Office,1968,96.6,2.2,"1,130,054.40",100.00%,,,10.1,,,,302814000,"2017, "
25,20 City Hall Ave,Municipal ,Office,20 City Hall Ave,2108,"9,680",179.2,15,,Office,2000,108.5,11.2,"1,734,399.70",14.70%,50.10%,35.20%,,,,,302865000,"2016, 2017, "
26,20 Somerset Building,Yes,College/University,20 Somerset Street,2108,"103,599",72.1,Not Available,,College/University,2015,638.2,6.2,"7,468,757.40",100.00%,,,8.6,,,,302782000,"2016, 2017, "
27,Twenty-One Beacon Condominium,Yes,Multifamily Housing,21 Beacon Street,2108,"94,785",163.9,4,,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",1900,966.7,10.2,"15,533,903.70",28.20%,71.80%,,71.2,,,,302807000,"2015, 2016, 2017, "
28,Court Street,Municipal ,Office,26 Court Street,2108,"152,532",60,94,,Office,2000,616.2,4,"9,158,945.70",43.80%,56.20%,,,,,,302860000,"2016, 2017, "
29,Pi Alley Garage,Yes,Mixed Use Property,275 Washington St,2108,"23,000",306.3,Not Available,,"Other, Parking",1970,559.7,24.3,"7,045,016.40",81.40%,18.60%,,45.8,,,,302875000,"2014, 2015, 2016, 2017, "
30,TFC 30 Winter LLC,Yes,Office,30 Winter Street,2108,"87,228",61.4,Not Available,,"Data Center, Office, Retail Store",1975,410.3,4.7,"5,351,926.80",100.00%,,,12.2,,,,304770000,"2017, "
31,32-38 Bromfield Street,Yes,Mixed Use Property,32-38 Bromfield Street,2108,"41,818",60.9,95,,Office,1899,176.3,4.2,"2,547,626.50",17.60%,4.10%,78.30%,4.8,,This is a mixed-use building.  Retail space ground floor office space above.,,304761000,"2016, 2017, "
32,Parkman House,Municipal ,Multifamily Housing,33 Beacon St,2108,"18,000",52.9,Not Available,,Other,2000,61.2,3.4,"952,970.50",34.40%,65.60%,,1.7,,,,501617000,"2016, 2017, "
33,333 Washington Condo Trust,Yes,Other - Mall,333 Washington Street,2108,"143,954",104.2,Not Available,,Other - Mall,1930,"1,080.80",7.5,"15,004,981.00",58.50%,41.50%,,42.8,,,,304721000,"2017, "
34,350 Washington Street,Yes,Retail Store,350 Washington Street,2108,"166,700",85.5,46,,"Fitness Center/Health Club/Gym, Retail Store",1965,"1,162.90",7,"14,249,359.30",79.90%,,20.10%,21.2,,,,304630010,"2014, 2015, 2016, 2017, "
35,37 Beacon Street Condominium Trust,Yes,Multifamily Housing,37 Beacon Street,2108,"30,295",32.9,98,,Multifamily Housing,1900,79.9,2.6,"997,265.20",53.30%,0.20%,,25.9,,,,501607000,"2017, "
36,Washington Jewelers Building,Yes,Office,373-387 Washington St.,2108,"118,094",84.3,Not Available,,"Office, Retail Store",1920,803.3,6.8,"9,950,867.60",62.20%,2.20%,,40.8,,,,304734000,"2014, 2015, 2016, 2017, "
37,399washington,Yes,Other,399 washington St,2108,"59,891",7753.3,Not Available,,"Other, Retail Store",1918,"30,835.30",514.9,"464,351,294.10",0.10%,0.10%,99.80%,5.3,,,,03-04736-000,"2014, 2015, 2016, 2017, "
38,40 Court Street,Yes,Office,40 Court Street,2108,"130,000",84.6,75,,Office,1914,768.1,5.9,"10,995,798.50",36.90%,26.90%,36.20%,14.7,,,,302855000,"2014, 2015, 2016, 2017, "
39,The Corner Mall,Yes,Office,413 Washington Street,2108,"212,515",105,46,,"Office, Performing Arts, Retail Store",1925,"1,634.50",7.7,"22,307,972.70",56.50%,29.20%,14.30%,40.9,,"This is a mixed use office/retail/food court/theatre building.",,304738000,"2014, 2015, 2016, 2017, "
40,45 Bromfield,Voluntary,Office,45 Bromfield Street,2108,"22,448",Not Available,Not Available,,Office,1912, -   ,0, Not Available ,,,,14.5,,,,304715000,"2017, "
41,45 Province Condominium,Yes,Multifamily Housing,45 Province Street,2108,"195,022",130,1,,Multifamily Housing,2009,"1,886.30",9.7,"25,352,483.00",65.90%,34.10%,,33.7,,,,304705000,"2015, 2016, 2017, "
42,Old City Hall,Yes,Office,45 School Street ,2108,"97,230",78.6,80,,"Office, Restaurant",1862,579.5,6,"7,643,811.40",60.90%,16.50%,22.60%,26.2,,,,302856000,"2015, 2016, 2017, "
43,HOLY SPIRIT ASSOCIATION,Yes,Worship Facility,46 Beacon St,2108,"35,000",46.1,49,,Worship Facility,1860,111,3.2,"1,612,201.10",17.40%,27.30%,,2467.7,,,,501489001,"2017, "
44,The Paulist Center,Yes,Worship Facility,5 Park Street,2108,"36,360",68.5,Not Available,,"Residence Hall/Dormitory, Worship Facility",1945,182.9,5,"2,490,370.20",40.30%,4.70%,55.00%,14,,"This whole building is in use 24/7, even though the drop down menus were only allowing me to say it was in use for 5 days a week.  There was no weekend option, when we have tons of things happening.",,304681000,"2016, 2017, "
45,"55 Court, LLC",Yes,Office,55 Court Street,2108,"49,412",5.8,Not Available,,"Office, Retail Store",1968,24.5,0.5,"287,282.90",100.00%,,,,,The retail store is VACANT.,,302892000,"2015, 2016, 2017, "
46,"Six Beacon Street, LLC",Yes,Office,6 Beacon Street,2108,"90,000",65.1,90,,Office,1900,394.1,4.4,"5,861,406.60",43.70%,56.30%,,15.1,,,,304695000,"2014, 2015, 2016, 2017, "
47,Omni Parker House,Yes,Hotel,60 School Street,2108,"338,000",44727,1,,Hotel,1855,"1,003,940.70",2970.2,"15,117,712,703.80",0.10%,0.10%,99.80%,76,,"Using monthly meter readings from U drive to input into Portfolio.  Getting monthly costs from Accounting to input into Portfolio.All 2014 data inputed so far has been done using Ecova's website. Using utility bills off the website to input the information into Portfolio Manager.",,304696000,"2016, 2017, "
48,711 Atlantic Holdings,Yes,Office,711 Atlantic ,2108,"91,464",48.2,88,,Office,1900,376.4,4.1,"4,405,263.90",100.00%,,,9.8,,,,304309000,"2016, 2017, "
49,73 Tremont St,Yes,Office,73 Tremont St,2108,"303,975",114.4,31,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007","Office, Other - Education, Parking",1898,"2,970.80",9.8,"34,768,500.70",100.00%,,,13.1,,,,304675000,"2014, 2015, 2016, 2017, "
50,Sawyer Building,Yes,College/University,8 Ashburton Place,2108,"149,634",60.6,Not Available,,"Data Center, Office",1920,719.4,4.8,"9,071,502.30",81.00%,19.00%,,17.8,,,,302802001,"2014, 2016, 2017, "
51,"Union Club of Boston, Inc.",Yes,Mixed Use Property,Eight Park Street,2108,"36,666",Not Available,Not Available,,"Hotel, Office, Restaurant",1863, Not Available ,Not Available, Not Available ,,,,30.9,,,,304684000,"2016, 2017, "
52,One Boston Place,Yes,Office,One Boston Place,2108,"844,203",80.6,85,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",Office,1970,"5,201.70",6.2,"68,076,270.00",52.60%,0.00%,47.40%,10,,,,302870000,"2014, 2015, 2016, 2017, "
53,MA0050ZZ - MOAKLEY COURTHOUSE,Voluntary,Courthouse,1 COURTHOUSE WAY,2109,"915,346",75.5,Not Available,,"Courthouse, Data Center, Parking, Prison/Incarceration, Residence Hall/Dormitory, Restaurant, Social/Meeting Hall",1998,"5,491.10",5.6,"73,429,424.90",67.00%,33.00%,,10.2,,"There are 4 data rooms in the Moakley; 2 USMS, 1 USCA, 1 USA",,602671010,"2014, 2015, 2016, 2017, "
54,1 Milk,Yes,Office,1 Milk Street,2109,"44,464",Not Available,Not Available,,Office,1899, Not Available ,Not Available, Not Available ,,,,2.6,,,,304637010,"2016, 2017, "
55,One State,Yes,Office,1 State Street,2109,"64,428",Not Available,Not Available,,Office,1928, Not Available ,Not Available, Not Available ,,,,4350.6,,,,303899000,"2014, 2015, 2017, "
56,10 PO Square,Voluntary,Office,10 Post Office Square,2109,"405,797",59.7,91,,Office,1920,"1,723.40",4.2,"24,213,285.70",55.90%,44.10%,,10.7,,,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016, 2017, "
57,Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,2109,"100,800",29.9,84,,Multifamily Housing,1990,257.6,2.6,"3,014,416.70",100.00%,,,20.5,,,,303478000,"2015, 2016, 2017, "
58,120 Fulton St,Yes,Multifamily Housing,120 Fulton St,2109,"37,522",63.8,21,,Multifamily Housing,1900,168.7,4.5,"2,394,176.40",53.70%,46.30%,,38.3,,,,303474000,"2017, "
59,East Coast Condominium,Voluntary,Multifamily Housing,"122, 130 Fulton Street",2109,"24,455",78.1,35,,Multifamily Housing,1900,118.4,4.8,"1,909,275.30",27.50%,72.50%,,30.7,,,,303471000,"2017, "
60,Christopher Columbus Plaza: 145 Commercial Street,Yes,Multifamily Housing,145 Commercial St,2109,"174,895",59.5,80,,Multifamily Housing,1976,657.2,3.8,"10,410,307.70",31.00%,69.00%,,26.7,,,,303551000,"2015, 2016, 2017, "
61,148 State Street,Yes,Office,148 State Street,2109,"64,233",86.3,63,,"Office, Restaurant",1899,391.1,6.1,"5,543,929.00",53.90%,46.10%,,14.9,,,,303751000,"2014, 2015, 2016, 2017, "
62,15 Broad st,Yes,Office,15 Broad St,2109,"83,845",66.2,95,,Office,1910,356.1,4.2,"5,549,941.80",34.20%,65.80%,,7.8,,,,303836000,"2014, 2015, 2016, 2017, "
63,7 Water Street,Yes,Financial Office,15 Water Street,2109,"46,006",86.1,58,,Financial Office,1978,286.8,6.2,"3,961,357.00",59.70%,40.30%,,9.3,,,,303903010,"2017, "
64,North Bennet Street School,Yes,Vocational School,150 North Street,2109,"56,946",77.5,Not Available,,Vocational School,1932,279.6,4.9,"4,412,589.50",39.40%,56.00%,,4.1,"60,250",,,0303305010 0303306010,"2016, 2017, "
65,Grain Exchange Building,Yes,Office,177 Milk Street,2109,"75,327",85.8,71,,Office,1891,455.1,6,"6,466,500.10",53.40%,46.60%,,7,,"Parcel ID: 0303940000 Address: 177 MILK ST BOSTON MA 02109 Property Type: Commercial Classification Code: 346 (Commercial Property / OFFICE CLS B) Lot Size: 12,166 sq ft Living Area: 76,300 sq ft ",,303940000,"2014, 2017, "
66,Harborside Inn,Yes,Hotel,185 State Street,2109,"62,370",127,9,,Hotel,1875,551.8,8.8,"7,922,353.60",51.20%,48.90%,,42.2,,,,303808000,"2014, 2015, 2016, 2017, "
67,Dock Square Garage,Yes,Parking,20 Clinton Street,2109,"287,427",208.1,Not Available,,"Office, Parking, Restaurant",1980,387,12.5,"6,465,488.20",20.90%,,,5.7,,,,303409000,"2017, "
68,200 State Street,Yes,Office,200 State Street,2109,"352,323",80.2,47,,"Office, Parking",1986,"2,414.40",6.9,"28,257,779.00",100.00%,,,15,,,,303790002,"2014, 2016, 2017, "
69,Old State House,Municipal ,Office,206 Washington St,2109,"14,088",Not Available,Not Available,,Office,2000, Not Available ,Not Available, Not Available ,,,,32.5,,,,303890000,"2016, 2017, "
70,255 State Street Building,Yes,Office,255 State Street,2109,"202,022",Not Available,Not Available,,Office,1918, Not Available ,Not Available, Not Available ,,,,,,,,303821000,"2015, 2016, 2017, "
71,"The Bostonian Boston, a Millennium Hotel",Yes,Hotel,26 North Street,2109,"204,900",89,58,,Hotel,1982,"1,263.30",6.2,"18,244,775.50",49.90%,50.10%,,53.5,,,,303365000,"2015, 2016, 2017, "
72,28 State Street,Yes,Office,28 State Street,2109,"572,419",79.7,68,2013,"Office, Parking",1968,"3,897.80",6.8,"45,618,032.70",100.00%,,,13.6,,,,303694000,"2015, 2016, 2017, "
73,33751-Boston Marriott Long Wharf,Yes,Hotel,296 State Street,2109,"350,000",82.5,62,,Hotel,1990,"2,134.60",6.1,"28,867,796.40",64.40%,35.60%,,55.9,,,,303020000,"2016, 2017, "
74,Marriott Custom House,Yes,Hotel,3 McKinley Sq,2109,"150,000",Not Available,Not Available,,"Hotel, Parking",1847, -   ,0, Not Available ,,,,,,,,303822110,"2017, "
75,Mariner Condo Associates,Yes,Multifamily Housing,300 Commercial St,2109,"186,285",38.1,69,,Multifamily Housing,1986,519.5,2.8,"7,102,463.90",62.00%,38.00%,,18.4,,,,303543000,"2017, "
76,31 Milk Street,Yes,Office,31 Milk Street,2109,"95,216",85.1,72,,Office,1923,554.8,5.8,"8,099,642.20",47.60%,52.40%,,8.8,,,,304642004,"2014, 2015, 2016, 2017, "
77,33 Broad Street,Yes,Office,33 Broad Street,2109,"40,736",120.3,37,,"Food Service, Office, Self-Storage Facility",1902,315.3,7.7,"4,901,406.20",34.70%,65.30%,,14.6,,,,303840000,"2016, 2017, "
78,Union Wharf Condominiums,Yes,Multifamily Housing,343 Commercial Street,2109,"250,000",12.6,Not Available,,"Multifamily Housing, Swimming Pool",1978,223.4,0.9,"3,154,734.50",54.80%,45.20%,,14.2,,,,303038200,"2015, 2016, 2017, "
79,San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,Yes,Multifamily Housing,357 Commercial Street,2109,"310,000",49,56,,Multifamily Housing,1987,"1,248.30",4,"15,189,328.70",71.00%,,,24.5,,,,303039000,"2015, 2016, 2017, "
80,Engine 08,Municipal ,Fire Station,392 Hanover St,2109,"9,926",152.2,Not Available,,Fire Station,2000,89.7,9,"1,511,023.30",19.40%,80.60%,,17.4,,,,302072000,"2016, 2017, "
81,Burroughs Wharf Condominium,Yes,Multifamily Housing,40 & 50 Battery Street,2109,"106,921",1164.4,1,,Multifamily Housing,1993,"6,807.40",63.7,"124,495,386.40",4.80%,95.20%,,25.6,,,,303040000,"2015, 2016, 2017, "
82,40 Broad St.,Yes,Office,40 Broad St.,2109,"309,915",56,90,"2016, 2015, 2014, 2013, 2012, 2011, 2010","Office, Restaurant",1923,"1,431.00",4.6,"17,340,010.00",84.70%,,15.30%,13.2,,"We recalculated the GSA using CAD drawings, and included previously excluded non tenant areas. The revised GSA has increased from 286,159 sq ft to 309,915 sq ft.  ",,303824000,"2014, 2015, 2016, 2017, "
83,Mirabella Pool,Municipal ,Other - Recreation,475 Commercial St,2109,"3,220",111.3,Not Available,,"Other - Recreation, Swimming Pool",2003,28.9,9,"358,455.50",85.10%,14.90%,,,,,,303055000,"2016, 2017, "
84,MA0013ZZ - J W MCCORMACK BLDG,Voluntary,Office,5 POST OFFICE SQ,2109,"776,861",45.1,96,"2015, 2012, 2011","Courthouse, Office, Parking",1933,"2,635.40",3.4,"35,020,319.40",46.50%,0.10%,53.40%,6.7,,,,303881000,"2014, 2015, 2016, 2017, "
85,Marine Unit,Yes,Fire Station,50 Battery St,2109,"5,000",238.6,Not Available,,Fire Station,2000,40.8,20.4,"477,168.20",100.00%,,,,,,,303040000,"2016, 2017, "
86,50 Congress St,Yes,Office,50 Congress Street,2109,"179,872",77.8,92,,"Bank Branch, Fast Food Restaurant, Office, Other",1915,"1,095.30",6.1,"13,988,914.10",36.40%,,,10.1,,,,303874000,"2014, 2015, 2016, 2017, "
87,"50 Milk Street, LLC",Yes,Office,50 Milk Street,2109,"290,759",61,Not Available,"2012, 2011, 2010, 2009, 2007","Data Center, Office, Parking, Restaurant",1981,"1,515.10",5.2,"17,731,641.00",100.00%,,,15.7,,,,303910000,"2016, 2017, "
88,53 State Street,Yes,Office,53 State Street,2109,"1,321,219",51.8,91,"2017, 2016, 2015, 2014, 2013, 2010, 2009, 2008","Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",1985,"5,588.70",4.2,"68,403,662.80",80.80%,0.60%,18.50%,8.4,,"",,303870000,"2014, 2015, 2016, 2017, "
89,60 State Street,Yes,Office,60 State Street,2109,"958,470",79.2,75,"2016, 2014, 2013","Financial Office, Office, Parking, Restaurant",1978,"5,993.30",6.3,"75,950,720.90",66.50%,1.10%,32.40%,17.6,,,,303685000,"2014, 2015, 2016, 2017, "
90,64 Broad Street,Voluntary,Office,64 Broad Street,2109,"13,000",47.9,63,,Office,1847,53.2,4.1,"622,335.10",100.00%,,,8.9,,,,303995000,"2014, 2015, 2016, 2017, "
91,Villa Michelangelo,Yes,Multifamily Housing,64-84 Charter Street,2109,"65,000",68.4,19,,Multifamily Housing,2001,301.4,4.6,"4,444,351.30",45.50%,54.50%,,36.2,,,,302161000,"2017, "
92,75 State Street,Yes,Financial Office,75 State Street,2109,"813,261",61.7,89,"2017, 2016, 2015, 2013, 2012, 2010, 2009, 2008","Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1987,"4,284.00",5.3,"50,138,626.40",100.00%,,,13,,,,303860000,"2014, 2015, 2016, 2017, "
93,Federal Express Building,Yes,Distribution Center,775 Summer Street,2109,"97,000",78.2,81,,"Distribution Center, Office",1995,455.3,4.7,"7,581,424.60",21.50%,78.50%,,0.1,,,,603405000,"2015, 2016, 2017, "
94,84 State Street,Yes,Office,84 State Street,2109,"133,208",51.2,90,"2016, 2015, 2014, 2013, 2012, 2011","Office, Other, Restaurant",1902,564.9,4.2,"6,817,252.70",77.00%,,,10,,,,0303680-000,"2014, 2015, 2016, 2017, "
95,Winhall Liberty LLC,Yes,Office,87 Kilby Street,2109,"67,609",Not Available,Not Available,,Office,1907, Not Available ,Not Available, Not Available ,,,,,,,,303877000,"2016, 2017, "
96,99 Fulton Street: 99 Fulton Street,Yes,Multifamily Housing,99 Fulton Street,2109,"37,000",59,86,,Multifamily Housing,1976,163.8,4.4,"2,183,821.70",33.20%,,,33.2,,"Whole building electric usage provided directly by EversourceOil usage provided by Delvaney EnergyThere is no gas fuel for this address. ",,303604000,"2017, "
97,Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,2109,"298,723",106.1,5,,Multifamily Housing,2007,"2,200.20",7.4,"31,691,313.80",50.50%,49.50%,,35.2,,,,303041300,"2014, 2015, 2016, 2017, "
98,Faneuil Hall,Municipal ,Lifestyle Center,Faneuil Hall South Market St.,2109,"28,000",45,Not Available,,Other - Mall,2000,90.7,3.2,"1,260,091.90",29.40%,,70.60%,,,,,303689000,"2016, 2017, "
99,One Faneuil Hall Square,Yes,Office,One Faneuil Hall Square,2109,"44,287",102.7,38,,"Office, Retail Store",1980,342.2,7.7,"4,549,700.80",68.30%,31.70%,,1.9,,,,303675000,"2016, 2017, "
100,Oakwood Boston,Yes,Multifamily Housing,One India St,2109,"117,588",102.2,1,,"Multifamily Housing, Restaurant",1901,853.8,7.3,"12,017,925.60",55.50%,44.50%,,41.3,,,,303823000,"2015, 2016, 2017, "
101,One Liberty Square,Yes,Office,One Liberty Square,2109,"173,600",45.6,87,"2016, 2015, 2014, 2013, 2012, 2011",Office,1926,676.1,3.9,"7,912,418.00",100.00%,,,7.1,,Conducted energy audit 10/2010.  PM implementing and tracking ECMs.,,303833000,"2014, 2015, 2016, 2017, "
102,One Post Office Square,Yes,Office,One Post Office Square,2109,"831,283",66.3,77,"2016, 2015, 2013, 2012, 2010, 2009","Office, Parking",1981,"4,678.20",5.6,"55,082,884.30",99.40%,,,12,,,,304160000,"2014, 2015, 2016, 2017, "
103,Garage at Post Office Square,Yes,Other,Zero Post Office Square,2109,"50,000",57.7,Not Available,,"Other - Recreation, Parking",1990,246.3,4.9,"2,883,064.40",100.00%,,,21.4,,"assessing parcel 0304163000.   Parking Garage has restrooms which are open to the public 24 hours/7 days, accounting for a significant portion of water use.",,304163000,"2014, 2015, 2016, 2017, "
104,North End Garage,Yes,Parking,600 Commercial St.,02109-1015,1,3.4,Not Available,,Parking,1925,60.7,0.3,"710,563.30",100.00%,,,25000,,,,301937000,"2014, 2015, 2016, 2017, "
105,One Winthrop Square,Yes,Office,1 Winthrop Square,2110,"114,257",63.2,85,"2016, 2015",Office,1873,535.9,4.7,"7,216,275.70",65.40%,34.60%,,10.9,,,,304618000,"2014, 2015, 2016, 2017, "
106,121 - Roche Bros.,Yes,Supermarket/Grocery Store,10 Summer St,2110,"37,000",222.3,59,,Supermarket/Grocery Store,2008,651.1,17.6,"8,225,916.20",80.50%,19.50%,,,,,,304585010,"2017, "
107,St. Anthony Shrine,Yes,Worship Facility,100 Arch Street,2110,"126,573",41.7,Not Available,,Worship Facility,1954,347.6,2.7,"5,278,136.70",,4.10%,95.90%,12.6,,"The subject property consists of a 19,126 SF mid-block site that is improved with St. Anthony's Shrine and friary.  The building, which consists of two distinct parts, contains a total GBA of 126,573 SF according to municipal records.  The building's shrine component is finished with multiple levels of churches and a chapel, as well as a lower level food pantry.  The second component rises 11 stories and is used as residences for the religious order, as well as office spaces.  Property use detail was estimated.  Reporting was performed by attorney for building owner. ",,304608000,"2017, "
108,100 Federal St.,Yes,Office,100 Federal St.,2110,"1,478,145",74.9,84,"2017, 2016, 2015, 2013, 2009","Data Center, Office, Parking",1970,"8,538.70",5.8,"110,738,242.60",56.20%,,43.80%,9.8,,,,304410000,"2014, 2015, 2016, 2017, "
109,100 Franklin Street,Yes,Office,100 Franklin Street,2110,"124,055",58.7,83,,"Bank Branch, Office",1908,567.3,4.6,"7,278,200.40",76.80%,23.20%,,8.3,,,,304666000,"2014, 2015, 2016, 2017, "
